query,transform,gold,rank_pos,top1_name,top1_dist,top1_geom,top1_combined,pred@K,dist@K,geom@K,combined@K
0000026_flip.jpg,flip,0000026.jpg,1,0000026.jpg,84.34455871582031,0.1175609756097561,0.8335965,0000026.jpg;0000487.jpg;0000051.jpg;0000411.jpg;0000111.jpg;0000267.jpg;0000196.jpg;0000118.jpg;0000253.jpg;0000025.jpg;0000122.jpg;0000333.jpg;0000204.jpg;0000053.jpg;0000133.jpg;0000229.jpg;0000046.jpg;0000191.jpg;0000569.jpg;0000017.jpg,84.3446;919.7571;708.5065;633.0062;1905.1949;1882.5848;2042.0730;1627.4506;1832.2043;1764.4601;1500.3704;2107.0046;2381.8296;2238.3804;1870.0812;2645.9028;2515.3159;2404.3413;2659.8574;2937.1194,0.1176;0.0848;0.1261;0.1766;0.0000;0.0631;0.0631;0.1638;0.1375;0.1596;0.2119;0.1375;0.1100;0.1350;0.2119;0.1212;0.1514;0.1911;0.1792;0.1514,0.8336;0.6750;0.6683;0.6154;0.5532;0.4695;0.4304;0.3894;0.3765;0.3619;0.3525;0.3091;0.2806;0.2804;0.2618;0.1999;0.1893;0.1603;0.1144;0.0857
0000026_rot90.jpg,rot90,0000026.jpg,7,0000487.jpg,1038.203125,0.3634523809523809,0.9897525,0000487.jpg;0000411.jpg;0000051.jpg;0000229.jpg;0000196.jpg;0000053.jpg;0000026.jpg;0000118.jpg;0000122.jpg;0000111.jpg;0000267.jpg;0000025.jpg;0000050.jpg;0000133.jpg;0000046.jpg;0000253.jpg;0000548.jpg;0000333.jpg;0000569.jpg;0000191.jpg,1038.2031;1319.4543;1371.0244;2039.5624;2037.8811;2090.7554;1417.8125;2146.0796;2139.0752;2191.9121;2233.9761;2257.6814;2264.6382;2322.3381;2477.1978;2484.3623;2530.3220;2533.4514;2574.4673;2715.5063,0.3635;0.2102;0.1269;0.0675;0.1441;0.1911;9.7841;0.0303;0.1304;0.1350;0.1167;0.1915;0.1400;0.2877;0.1514;0.1261;0.1261;0.2017;0.2363;0.1150,0.9898;0.8771;0.8581;0.5810;0.5793;0.5558;0.5416;0.5376;0.5375;0.5153;0.4983;0.4861;0.4848;0.4562;0.3957;0.3935;0.3743;0.3707;0.3525;0.2974
0000046_bright.jpg,bright,0000046.jpg,2,0000569.jpg,899.2901000976562,0.14407894736842106,0.80376744,0000569.jpg;0000046.jpg;0000191.jpg;0000118.jpg;0000133.jpg;0000333.jpg;0000196.jpg;0000025.jpg;0000411.jpg;0000487.jpg;0000122.jpg;0000267.jpg;0000053.jpg;0000051.jpg;0000111.jpg;0000253.jpg;0000548.jpg;0000229.jpg;0000026.jpg;0000204.jpg,899.2901;230.4246;1324.3691;1501.0571;1497.0430;1494.5125;1856.3291;1897.5801;2065.3132;2080.6724;2203.3408;2206.8594;2242.6660;2280.7397;2368.0034;2387.0400;2415.3918;2532.9106;2645.1436;2727.2559,0.1441;4.9611;0.0252;0.0000;0.1514;0.2048;0.0638;0.1918;0.1529;0.1596;0.1729;0.1792;0.1596;0.1529;0.1918;0.1433;0.1915;0.1433;0.1261;0.1638,0.8038;0.7000;0.6918;0.6438;0.6357;0.6332;0.5403;0.5210;0.4763;0.4716;0.4364;0.4351;0.4262;0.4159;0.3891;0.3867;0.3759;0.3458;0.3154;0.2901
0000046_flip.jpg,flip,0000046.jpg,1,0000046.jpg,84.18804931640625,0.13416666666666666,0.8848094,0000046.jpg;0000569.jpg;0000118.jpg;0000191.jpg;0000333.jpg;0000196.jpg;0000133.jpg;0000025.jpg;0000122.jpg;0000026.jpg;0000267.jpg;0000053.jpg;0000548.jpg;0000411.jpg;0000229.jpg;0000253.jpg;0000487.jpg;0000051.jpg;0000111.jpg;0000204.jpg,84.1880;705.9558;1611.9412;1468.8911;1551.6663;1789.4734;1623.7102;1954.4470;2089.7178;2691.2590;2173.9836;2175.7832;2231.9976;2241.8198;2582.3613;2305.1257;2217.4639;2497.0493;2175.7432;2612.7964,0.1342;0.1400;0.1146;0.1579;0.1596;0.1514;0.1911;0.1579;0.1638;0.0526;0.1514;0.1638;0.1792;0.1792;0.1375;0.1918;0.2119;0.1792;0.2650;0.2398,0.8848;0.7096;0.5022;0.4796;0.4549;0.4026;0.3911;0.3492;0.3044;0.3000;0.2994;0.2813;0.2446;0.2419;0.2093;0.2071;0.2022;0.1734;0.1384;0.0567
0000046_rot90.jpg,rot90,0000046.jpg,6,0000569.jpg,2021.8271484375,0.15136363636363637,0.90099084,0000569.jpg;0000548.jpg;0000196.jpg;0000053.jpg;0000050.jpg;0000046.jpg;0000171.jpg;0000229.jpg;0000191.jpg;0000333.jpg;0000118.jpg;0000133.jpg;0000487.jpg;0000111.jpg;0000122.jpg;0000267.jpg;0000025.jpg;0000411.jpg;0000253.jpg;0000003.jpg,2021.8271;2152.7217;2196.6841;2304.0649;2377.2410;1814.4761;2512.2737;2612.5667;2631.9832;2685.7705;2823.7063;2877.3428;2920.4954;3014.3684;3087.4810;3111.2800;3151.8923;3247.7024;3322.6201;3350.8547,0.1514;0.1911;0.1009;0.1792;0.1315;10.0097;0.1433;0.0000;0.2100;0.1792;0.1261;0.1529;0.1167;0.2048;0.1681;0.1579;0.1596;0.1211;0.1276;0.2322,0.9010;0.8402;0.8228;0.7716;0.7397;0.7000;0.6778;0.6364;0.6212;0.5977;0.5364;0.5112;0.4926;0.4472;0.4150;0.4044;0.3859;0.3434;0.3090;0.2930
0000050_bright.jpg,bright,0000050.jpg,3,0000229.jpg,571.5851440429688,0.5148058252427185,0.8758745,0000229.jpg;0000053.jpg;0000050.jpg;0000196.jpg;0000548.jpg;0000333.jpg;0000191.jpg;0000487.jpg;0000017.jpg;0000046.jpg;0000171.jpg;0000051.jpg;0000411.jpg;0000316.jpg;0000122.jpg;0000026.jpg;0000569.jpg;0000111.jpg;0000118.jpg;0000133.jpg,571.5851;1444.6436;78.8008;1556.2988;2466.8745;2692.3445;2829.5325;2875.6465;2885.9014;2881.2800;2918.7798;3030.1387;3039.4883;3081.1221;3107.2405;3156.8955;3216.4634;3226.7739;3285.7756;3422.9746,0.5148;0.1315;5.8108;0.1375;0.2048;0.1315;0.1433;0.1529;0.1167;0.2600;0.1276;0.1767;0.1767;0.1911;0.1441;0.1441;0.1767;0.2048;0.1276;0.1638,0.8759;0.7133;0.7000;0.6896;0.4955;0.4522;0.4228;0.4127;0.4124;0.4058;0.4050;0.3791;0.3771;0.3676;0.3646;0.3543;0.3401;0.3364;0.3281;0.2975
0000050_flip.jpg,flip,0000050.jpg,1,0000050.jpg,91.70539855957031,0.1556896551724138,0.81481844,0000050.jpg;0000229.jpg;0000196.jpg;0000053.jpg;0000017.jpg;0000026.jpg;0000333.jpg;0000548.jpg;0000487.jpg;0000191.jpg;0000046.jpg;0000316.jpg;0000569.jpg;0000051.jpg;0000111.jpg;0000171.jpg;0000122.jpg;0000411.jpg;0000118.jpg;0000133.jpg,91.7054;558.5385;1463.4827;1333.6742;2981.3059;3112.4780;2791.7439;2494.4937;2875.1519;2928.6978;2945.6211;3110.5471;3271.6946;3015.0464;3256.9192;2911.1143;3159.7388;3047.6853;3318.2583;3445.9265,0.1557;0.2522;0.1441;0.2234;0.0000;0.0000;0.1375;0.2025;0.1638;0.1688;0.1767;0.1596;0.1596;0.2048;0.1688;0.2322;0.2048;0.2322;0.1911;0.1792,0.8148;0.6026;0.5423;0.4751;0.3970;0.3696;0.2730;0.2577;0.2242;0.2072;0.1943;0.1802;0.1466;0.1463;0.1387;0.1354;0.1161;0.1069;0.0994;0.0869
0000050_rot90.jpg,rot90,0000050.jpg,4,0000229.jpg,621.90869140625,0.6500630252100841,0.91143674,0000229.jpg;0000053.jpg;0000196.jpg;0000050.jpg;0000333.jpg;0000548.jpg;0000191.jpg;0000487.jpg;0000046.jpg;0000411.jpg;0000026.jpg;0000171.jpg;0000051.jpg;0000017.jpg;0000122.jpg;0000569.jpg;0000111.jpg;0000316.jpg;0000118.jpg;0000133.jpg,621.9087;1293.0986;1348.1770;328.3239;2440.8613;2494.7354;2563.5271;2687.4724;2766.2295;2850.7949;2880.4360;2912.6445;2910.8987;3000.0022;3048.9087;3088.1860;3146.8411;3180.9424;3180.2041;3327.7461,0.6501;0.1433;0.1441;9.7281;0.0825;0.0606;0.1688;0.0000;0.1688;0.2208;0.1596;0.1767;0.1918;0.0526;0.1514;0.1529;0.1918;0.1918;0.2600;0.1100,0.9114;0.7704;0.7575;0.7000;0.5044;0.4925;0.4731;0.4494;0.4258;0.4045;0.3995;0.3914;0.3914;0.3749;0.3604;0.3512;0.3363;0.3283;0.3264;0.2966
0000051_bright.jpg,bright,0000051.jpg,4,0000411.jpg,310.5927734375,0.6932396449704141,0.9079011,0000411.jpg;0000026.jpg;0000487.jpg;0000051.jpg;0000118.jpg;0000025.jpg;0000133.jpg;0000122.jpg;0000333.jpg;0000111.jpg;0000267.jpg;0000253.jpg;0000191.jpg;0000569.jpg;0000046.jpg;0000196.jpg;0000204.jpg;0000053.jpg;0000229.jpg;0000548.jpg,310.5928;722.2651;787.9425;29.9871;1455.1635;1600.1978;1633.3278;1641.0352;1920.5557;1988.7710;2067.9741;2109.1128;2152.6423;2465.6541;2464.6592;2475.6069;2556.3083;2608.1660;2617.6594;2792.6870,0.6932;0.1681;0.0814;8.8215;0.1261;0.1441;0.1261;0.1454;0.1514;0.1579;0.1315;0.2208;0.2048;0.1261;0.1650;0.1579;0.1375;0.1792;0.1688;0.1915,0.9079;0.8216;0.8080;0.7000;0.6374;0.6000;0.5922;0.5896;0.5186;0.5011;0.4819;0.4684;0.4579;0.3813;0.3802;0.3777;0.3580;0.3434;0.3414;0.2962
0000051_flip.jpg,flip,0000051.jpg,2,0000411.jpg,280.6298828125,0.1211111111111111,0.8038751,0000411.jpg;0000051.jpg;0000026.jpg;0000133.jpg;0000487.jpg;0000025.jpg;0000118.jpg;0000122.jpg;0000333.jpg;0000191.jpg;0000253.jpg;0000111.jpg;0000196.jpg;0000267.jpg;0000569.jpg;0000204.jpg;0000229.jpg;0000046.jpg;0000548.jpg;0000053.jpg,280.6299;78.7991;737.6548;1606.7937;819.6871;1604.5526;1462.3242;1727.3102;1823.1035;2124.4446;2153.9917;2076.1282;2405.8906;2061.6021;2502.6597;2595.2598;2513.4238;2411.8550;2799.5886;2554.9563,0.1211;0.1766;0.1350;0.0288;0.1688;0.1146;0.1529;0.1375;0.1315;0.1350;0.1315;0.1688;0.1514;0.2150;0.1514;0.1596;0.1792;0.2150;0.1638;0.2208,0.8039;0.7691;0.6646;0.6069;0.5908;0.4734;0.4503;0.4061;0.3907;0.3078;0.3056;0.2675;0.2098;0.1990;0.1849;0.1483;0.1387;0.1089;0.0890;0.0629
0000051_rot90.jpg,rot90,0000051.jpg,4,0000487.jpg,1459.9453125,0.10875,0.99945664,0000487.jpg;0000411.jpg;0000026.jpg;0000051.jpg;0000229.jpg;0000050.jpg;0000196.jpg;0000053.jpg;0000118.jpg;0000133.jpg;0000025.jpg;0000267.jpg;0000122.jpg;0000111.jpg;0000333.jpg;0000548.jpg;0000191.jpg;0000046.jpg;0000253.jpg;0000569.jpg,1459.9453;1630.1416;1953.2123;1483.7122;2227.6069;2333.4790;2349.2422;2367.0754;2364.9924;2475.8174;2552.3474;2665.6370;2691.0144;2724.4360;2768.7681;2770.7993;2864.0259;2886.8457;2946.2078;2993.3892,0.1087;0.7135;0.1350;9.9824;0.1742;0.2600;0.1817;0.1304;0.1792;0.1688;0.2322;0.1118;0.1221;0.1382;0.1688;0.1918;0.1350;0.0908;0.2208;0.1514,0.9995;0.9034;0.7735;0.6892;0.6470;0.5961;0.5913;0.5847;0.5842;0.5339;0.4970;0.4490;0.4371;0.4213;0.4002;0.3985;0.3577;0.3486;0.3176;0.2982
0000053_bright.jpg,bright,0000053.jpg,3,0000050.jpg,1238.950927734375,0.0,0.7920445,0000050.jpg;0000196.jpg;0000053.jpg;0000229.jpg;0000333.jpg;0000487.jpg;0000122.jpg;0000026.jpg;0000191.jpg;0000017.jpg;0000548.jpg;0000411.jpg;0000046.jpg;0000051.jpg;0000111.jpg;0000316.jpg;0000171.jpg;0000267.jpg;0000118.jpg;0000569.jpg,1238.9509;859.7340;469.2759;1756.1206;2442.9072;2572.1680;2624.1802;2605.9783;2635.5981;2643.4331;2653.0474;2690.0728;2744.4810;2753.1572;2781.1240;2999.7290;3010.7344;3009.0322;3023.5303;3060.0835,0.0000;2.2699;5.0310;0.1638;0.2625;0.1167;0.1009;0.1915;0.0757;0.1596;0.1817;0.1575;0.1638;0.1433;0.2208;0.1911;0.1911;0.2100;0.1529;0.2208,0.7920;0.7591;0.7000;0.6425;0.4511;0.4249;0.4118;0.4113;0.4102;0.4031;0.3991;0.3906;0.3755;0.3744;0.3622;0.3049;0.3019;0.3013;0.3008;0.2868
0000053_flip.jpg,flip,0000053.jpg,1,0000053.jpg,134.6652374267578,0.1376470588235294,0.84268904,0000053.jpg;0000196.jpg;0000050.jpg;0000229.jpg;0000316.jpg;0000046.jpg;0000411.jpg;0000122.jpg;0000548.jpg;0000026.jpg;0000333.jpg;0000191.jpg;0000487.jpg;0000111.jpg;0000267.jpg;0000017.jpg;0000051.jpg;0000133.jpg;0000569.jpg;0000118.jpg,134.6652;319.1638;1297.2638;1667.8704;2896.7148;2305.1980;2503.5942;2511.2673;2513.9819;2382.3706;2270.0054;2422.5632;2402.4688;2689.3770;2795.4712;2612.2607;2665.6648;2925.7856;2753.5278;2808.1340,0.1376;0.1375;0.1911;0.1211;0.0000;0.1350;0.1638;0.1792;0.1792;0.2100;0.2398;0.2100;0.2322;0.1792;0.1638;0.2048;0.2322;0.1767;0.2625;0.2600,0.8427;0.7966;0.4901;0.4771;0.3073;0.3014;0.2186;0.1992;0.1985;0.1963;0.1904;0.1862;0.1658;0.1545;0.1454;0.1446;0.0998;0.0981;0.0432;0.0324
